x,y,is_goal,Assisted,IndividualPlay,RegularPlay,LeftFoot,RightFoot,FromCorner,FirstTouch,Head,BigChance,SetPiece,Volley,FastBreak,ThrowinSetPiece,Penalty,OneOnOne,KeyPass,OtherBodyPart,shot_distance,period_FirstHalf,period_SecondHalf,Zone_Back,Zone_Center,Zone_Left,Zone_Right
75.4,37.6,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,27.548502681634073,True,False,False,True,False,False
80.5,59.1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,21.518828964420905,True,False,False,True,False,False
72.5,47.7,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,27.596014204953583,True,False,False,True,False,False
88.5,50.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,11.5,False,True,False,True,False,False
97.3,40.7,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,9.684007434941382,False,True,False,True,False,False
85.9,47.0,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,14.41561653208075,False,True,False,True,False,False
75.3,62.8,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,27.819597409020858,False,True,False,True,False,False
89.1,53.7,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,11.510864433221345,False,True,False,True,False,False
73.4,51.9,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,26.667770810474575,False,True,False,True,False,False
81.5,52.3,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,18.64242473499625,False,True,False,True,False,False
85.2,44.9,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,15.654072952429981,False,True,False,True,False,False
91.4,66.8,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,18.873261509341724,False,True,False,True,False,False
71.0,46.6,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,29.198630104852523,False,True,False,True,False,False
74.4,34.8,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,29.77247050548543,False,True,False,True,False,False
90.2,43.3,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,11.871394189394941,False,True,False,True,False,False
85.9,47.4,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,14.337712509323092,False,True,False,True,False,False
77.9,54.8,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,22.615260334561697,False,True,False,True,False,False
74.1,47.8,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,25.993268359327196,False,True,False,True,False,False
74.8,44.6,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,25.772077913897437,False,True,False,True,False,False
89.5,34.0,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,19.13765920900464,True,False,False,True,False,False
89.6,60.2,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,14.56708618770412,True,False,False,True,False,False
90.0,32.7,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,19.982242116439284,True,False,False,True,False,False
91.3,42.8,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,11.29291813483123,True,False,False,True,False,False
89.0,55.8,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,12.435433245367848,True,False,False,True,False,False
